ID,"Churn (1=yes, 0=No)",Profit,Age,Cancelled,Months since start,Way of payment,Promotion,Region,Profit segment,Sex,Tariff model,Academic title,Revenue from calls (3 months ago),Fixed revenue (3 months ago),Revenue from roaming (3 months ago),Total revenue (3 months ago),Airtime to data service (1 month ago),Airtime incoming (1 month ago),Airtime to mobile (1 month ago),Calls to data service (3 months ago),Calls incoming (3 months ago),Calls roaming (3 months ago)
1,0,"25,4090957414787",21,0,14,Standing Order,0,0,D,Female,5,0,"7,82718696460323",0,0,"7,82718696460323",0,"1105,41333109525","439,863154358869",0,75,0
2,1,"572,10760241682",29,0,26,Standing Order,0,7,B,Male,8,0,"436,528876660667",0,0,"436,528876660667",0,"54991,234821839","44696,3464183808",0,199,3
3,0,"57,4566339674073",20,0,10,Standing Order,0,1,D,Female,5,0,"69,8843536682805","28,12",0,"98,0043536682805",0,"684,385557379349","651,22146164874",0,54,0
4,1,"292,595896195866",47,1,29,Standing Order,0,5,A,Male,18,0,"419,51681826375","62,6",0,"482,11681826375",0,"12523,26023652","4837,44985355177",0,134,0
5,0,"6,5992275817312",47,0,10,Standing Order,0,7,D,Male,8,0,"12,092877887648",0,0,"12,092877887648",0,"2531,73719910219","73,9260743453512",0,21,0
6,0,"19,3644108527645",24,0,12,Standing Order,0,5,C,Male,16,0,"147,015165091425","28,12",0,"175,135165091425",0,"8095,73693509994","4297,52568456721",0,183,11
7,0,"60,5737332688818",29,0,9,Standing Order,0,5,C,Female,16,0,"12,6792690835139","28,12",0,"40,7992690835138",0,"708,2153849159","42,1920032217756",0,40,0
8,1,"396,132059786682",24,0,11,Standing Order,0,6,B,Male,5,0,"162,014772685306","28,12",0,"190,134772685306",0,"4546,18911760238","6634,87131067624",0,86,4
9,0,"46,2503550909011",21,0,14,Standing Order,0,1,D,Female,5,0,"10,0350717188019","28,12",0,"38,1550717188019",0,"1156,19345606415","1860,17528320671",0,3,0
10,0,"131,480762801991",25,0,25,Standing Order,0,6,D,Male,16,0,"10,2922453661716","30,71",0,"41,0022453661716",0,"5744,16392589543","2297,29217211451",0,30,0
11,0,"57,3285365381452",28,0,15,Standing Order,0,0,D,Male,16,0,"29,3599889487482","28,12",0,"57,4799889487482",0,"1963,7606166358","30,4323858445908",0,24,0
12,0,"5,66338298951133",29,0,15,Standing Order,0,5,D,Male,16,0,"21,9118218234924","28,12",0,"50,0318218234924",0,"95,4780460496407",0,0,12,0
13,0,"83,5618641285723",27,0,10,Standing Order,0,5,D,Female,17,0,"43,4158837523355","40,48",0,"83,8958837523355",0,"19,6015202635131","9,73802088789634",0,14,0
14,0,"53,0442317929714",47,1,50,Standing Order,0,4,C,Male,1,0,"10,4629429886443","62,6","37,1095351108712","110,172478099516",0,"1179,12880782074","527,442288103422",0,9,0
15,0,"12,3644921768075",27,0,32,Standing Order,0,3,D,Male,16,0,"7,81863749416414","30,71",0,"38,5286374941641",0,"729,988895900684","5,935776732138",0,41,0
16,0,"43,5381519187769",24,0,16,Standing Order,0,4,D,Male,5,0,"26,5630798743041","30,71",0,"57,2730798743041",0,"1830,8040072432","38,290642637853",0,1,2
17,0,"111,127837355252",29,0,7,Standing Order,0,2,E,Male,5,0,"15,6257942177736","28,12","17,8692570501209","61,6150512678945",0,"106,979773272719",0,0,3,0
18,0,"112,89702627302",22,0,13,Standing Order,0,9,C,Female,5,0,"54,1676647984658","30,71",0,"84,8776647984658",0,"931,981824843776",0,0,12,0
19,1,"562,022470191501",26,0,15,Standing Order,0,9,B,Female,5,0,"406,363015194509","28,12",0,"434,483015194509",0,"20259,7900190579","20783,0210836092",0,193,0
20,1,"102,800121329718",20,0,8,Standing Order,0,5,C,Male,5,0,"118,019365463943","28,12",0,"146,139365463943",0,"11130,4729072803","11470,3407001561",0,303,0
21,0,"19,4394315698037",34,0,12,Standing Order,0,8,D,Male,16,0,"10,9128770061957","28,12",0,"39,0328770061957",0,"349,388041645833",0,0,8,0
22,0,"2,09597988409966",27,0,14,Standing Order,0,4,D,Male,16,0,"3,09597986348143","30,71",0,"33,8059798634814",0,"322,694365759314",0,0,10,0
23,0,"110,371663893117",23,0,13,Standing Order,0,8,D,Female,5,0,"18,0694042559338","30,71","174,703449602482","223,482853858416",0,"6590,79637177021","1196,74317848688",0,20,0
24,1,"157,790449844378",28,0,36,Standing Order,0,2,D,Male,16,0,"17,107468542956","28,12",0,"45,227468542956",0,"692,187817224504","1094,51741556493",0,11,0
25,0,"74,2996693935427",33,0,17,Standing Order,0,6,D,Male,16,0,"3,82072970906756","28,12",0,"31,9407297090676",0,"51,2418043464248",0,0,10,0
26,0,"44,7539064334755",26,0,15,Standing Order,0,0,C,Female,5,0,"102,352240199852","28,12",0,"130,472240199852",0,"1428,29330937717",0,0,70,0
27,0,"324,013619352806",31,0,15,Standing Order,0,7,C,Female,16,0,"116,571969130688","30,71",0,"147,281969130688",0,"17086,4620204756","1070,42985591273",0,207,0
28,1,"524,857039440178",47,0,11,Standing Order,0,4,C,Male,5,0,"59,7194328550759","28,12",0,"87,8394328550759",0,"198,624981421519","21,4038194913955",0,1,15
29,0,"348,457546611831",31,0,36,Standing Order,0,6,C,Male,4,0,"12,0818181715236","62,6",0,"74,6818181715236",0,"1226,79381422469","161,423440727658",0,8,0
30,0,"87,2361809097081",32,0,23,Standing Order,0,6,D,Male,5,0,0,"28,12",0,"28,12",0,"404,37814248685",0,0,3,0
31,0,"49,2556787201222",22,0,13,Standing Order,0,9,C,Female,5,0,"44,9027994879237","30,71",0,"75,6127994879237",0,"835,266215570145",0,0,13,0
32,0,"137,823490851339",47,0,45,Standing Order,0,8,C,Male,16,0,"49,6839429140135","62,6",0,"112,283942914013",0,"940,463443685911","378,67849881014",0,57,0
33,0,"14,4514232029289",27,0,8,Standing Order,0,1,D,Male,16,0,"5,8463356266327","28,12",0,"33,9663356266327",0,"203,159522620436","154,945692643785",0,8,0
34,0,"41,9476084293939",30,0,13,Standing Order,0,8,D,Female,5,0,"18,8500738707828",0,0,"18,8500738707828",0,"1262,68770034648","512,45039450581",0,39,0
35,0,"202,955804638741",26,0,13,Standing Order,0,8,B,Male,16,0,"45,7099925536102","30,71","290,058344326613","366,478336880223",0,"2470,81590077068","483,770544844687",0,49,0
36,0,"15,2177089677393",30,0,24,Standing Order,0,8,D,Male,16,0,"9,36093226544719","30,71",0,"40,0709322654472",0,"103,455231059311","890,837641496351",0,4,0
37,0,"152,121832462351",21,0,11,Standing Order,0,7,C,Female,16,0,"88,7111877681479","28,12",0,"116,831187768148",0,"3972,05645440529","674,478291353859",0,61,0
38,0,"11,7384564300506",22,0,7,Standing Order,0,7,E,Male,16,0,"22,4282376760996",0,0,"22,4282376760996",0,"9932,87232290316","1391,3389960944",0,10,0
39,0,"2,83475306406727",47,0,26,Standing Order,0,5,D,Male,8,0,0,0,0,0,0,"269,377001735508",0,0,0,0
40,0,"81,2740124914563",22,0,10,Standing Order,0,4,D,Male,16,0,"22,3267414876614","28,12","58,8295520184399","109,276293506101",0,"2981,22463390732","891,303946253623",0,47,0
41,0,"158,544252864125",37,0,32,Standing Order,0,8,D,Male,5,0,"24,7192201332002","28,12",0,"52,8392201332002",0,"129,066879896271",0,0,1,0
42,1,"189,125500360984",20,0,8,Unknown,0,1,D,Male,5,0,"1,70472223748542","28,12",0,"29,8247222374854",0,"289,546882394415","1134,64580086372",0,3,0
43,0,"13,4473086660481",22,0,8,Unknown,0,3,D,Female,5,0,"110,912345839879","30,71",0,"141,622345839879",0,0,"2015,69253864438",0,0,0
44,0,"9,62532086589009",47,0,43,Standing Order,0,8,D,Female,16,0,"18,957905726765","28,12","42,0925509727648","89,1704566995298",0,"138,301704819292","851,477709868241",0,3,0
45,0,"68,5297058309701",34,0,22,Standing Order,0,8,D,Male,5,0,"19,3744161189873","28,12",0,"47,4944161189873",0,"3077,26204154869",0,0,41,0
46,0,"47,3993808965026",31,0,16,Standing Order,0,6,D,Male,5,0,"55,4148811133859",0,0,"55,4148811133859",0,"2534,68782024928","1550,34925001876",0,43,1
47,0,"20,0569472496706",25,0,9,Standing Order,0,2,D,Female,16,0,"9,45523279309712","28,12",0,"37,5752327930971",0,"561,495350290237","8,62255705636071",0,7,0
48,0,"9,21671284856482",21,0,17,Standing Order,0,2,D,Male,16,0,"14,3230718957651","30,71",0,"45,0330718957651",0,"1821,59971961941","300,474470151026",0,21,0
49,0,"133,85364437631",21,0,20,Standing Order,0,3,D,Female,5,0,"16,2980598286541","28,12",0,"44,4180598286541",0,"6451,76840430632",0,0,21,0
50,0,"63,4157166232657",27,0,11,Standing Order,0,6,E,Male,16,0,"116,072226697195",0,0,"116,072226697195",0,"289,313652537081",0,0,267,0
51,0,"67,6803656578056",31,0,26,Standing Order,0,5,D,Male,16,0,"5,37696881990398","30,71",0,"36,086968819904",0,"225,295322740168","6,52269890456217",0,6,0
52,0,"111,781356915875",24,0,10,Standing Order,0,3,D,Male,5,0,"16,4623095176776","30,71",0,"47,1723095176776",0,"2197,94294209437","1370,74259422074",0,41,0
53,0,"102,424701656889",23,0,10,Standing Order,0,3,D,Female,5,0,"0,642367325303446","28,12",0,"28,7623673253034",0,"1625,26838999046",0,0,14,0
54,0,"82,6933898544214",21,0,8,Standing Order,0,6,D,Female,16,0,"10,9155773503714","30,71",0,"41,6255773503714",0,"1100,02018836945","1299,4887198225",0,6,0
55,0,"23,8542550513942",21,0,7,Standing Order,0,4,E,Female,5,0,"32,052449734978","28,12",0,"60,172449734978",0,"46,2312810629078","485,014956883412",0,21,0
56,0,"5,39754664999699",30,0,11,Standing Order,0,4,D,Female,5,0,"1,71397875538862","28,12",0,"29,8339787553886",0,"246,66289875676",0,0,9,0
57,0,"74,6489661213059",25,0,30,Standing Order,0,1,C,Male,4,0,"0,269567240423443","62,6",0,"62,8695672404234",0,"41,7462694724014",0,0,10,0
58,0,"106,416582833023",47,0,14,Standing Order,0,5,C,Male,5,0,"97,4450807208182","28,12","40,8728430222755","166,437923743094",0,"5529,20428925497","2514,83912848361",0,43,4
59,0,"46,092511147413",33,0,12,Standing Order,0,4,D,Male,16,1,"1,43290037594491","28,12",0,"29,5529003759449",0,"19,8375639166602",0,0,5,0
60,0,"253,696707750106",30,0,30,Standing Order,0,9,D,Female,5,0,0,"28,12","113,191894536505","141,311894536505",0,"2,17858260083672","94,055021813818",0,1,0
61,0,"32,3937601867164",26,0,19,Standing Order,0,1,C,Male,5,0,"49,6413639762429","28,12","28,1222512051452","105,883615181388",0,0,0,0,16,5
62,0,"76,2249333114751",25,0,7,Standing Order,0,7,E,Male,5,1,"73,6234717373031","30,71","0,591224976867121","104,92469671417",0,"21,4158682893639",0,0,5,0
63,0,"20,9877903252679",24,0,15,Standing Order,0,8,D,Male,5,0,"34,5529153491259",0,0,"34,5529153491259",0,"4608,75881048284","4458,73983802174",0,29,0
64,1,"247,789142755312",33,0,33,Standing Order,0,4,C,Male,5,0,"98,0801358755243","30,71",0,"128,790135875524",0,"280,387278183643",0,0,33,0
65,0,"32,0284162971835",20,0,10,Standing Order,0,5,D,Male,5,0,"20,1722355366171","28,12","1,10851544880868","49,4007509854258",0,"1077,90102337852","1140,55325511215",0,16,0
66,0,"16,4403366749248",35,0,6,Standing Order,0,5,E,Male,16,0,"10,6503540632687","29,76",0,"40,4103540632687",0,"293,65447962649","655,193281666575",0,8,0
67,0,"19,0213062259799",29,0,7,Standing Order,0,7,E,Male,5,0,"1,27084607366616","28,12",0,"29,3908460736662",0,"175,884753357546","232,462557542523",0,39,0
68,0,"57,747796986748",33,0,6,Standing Order,0,9,E,Male,5,0,"10,3530021004255","28,12",0,"38,4730021004255",0,"5044,87934298595",0,0,28,0
69,0,"28,478999935873",29,0,19,Standing Order,0,0,D,Female,5,0,"4,32136775919721","28,12",0,"32,4413677591972",0,"46,4760558266471","216,221100846748",0,2,0
70,0,"11,9028779577551",31,0,18,Standing Order,0,6,C,Male,5,0,"80,5521437215569","28,12",0,"108,672143721557",0,"2345,71185190957","151,480350432621",0,18,0
71,1,"276,489008274266",47,0,18,Standing Order,0,2,B,Male,16,0,"146,484160407697","28,12",0,"174,604160407697",0,"25082,9823698929","8693,49025244352",0,432,0
72,0,"81,9050627933803",36,0,18,Standing Order,0,4,D,Male,5,0,"3,5991605741989","30,71",0,"34,3091605741989",0,"71,4735308104631",0,0,5,0
73,0,"116,66737877968",32,0,28,Standing Order,0,5,B,Male,5,0,"113,691011746195","28,12",0,"141,811011746195",0,"3455,98409383615",0,0,79,0
74,0,"127,747503401595",26,0,22,Standing Order,0,1,D,Male,16,0,"2,41762469956555","30,71",0,"33,1276246995656",0,0,"134,474189848188",0,2,0
75,1,"1017,4219222154",31,0,9,Standing Order,0,8,A,Female,16,0,"795,436812702843","30,71",0,"826,146812702843",0,"8908,07925083819","9792,60007861278",0,176,1
76,0,"34,3701493708775",47,1,20,Standing Order,0,8,D,Male,16,0,"3,00195061415032","28,12",0,"31,1219506141503",0,"104,321010156595","48,0687742687786",0,0,0
77,0,"113,995728613913",30,0,10,Standing Order,0,5,D,Male,16,0,0,"28,12",0,"28,12",0,0,"92,6867250569193",0,3,0
78,0,"58,112511199854",23,0,9,Standing Order,0,0,E,Female,16,0,"6,11229199688467","28,12",0,"34,2322919968847",0,"3427,05451720709","1321,48977894782",0,18,0
79,0,"129,396434175251",21,0,11,Standing Order,0,6,C,Female,16,0,"21,4300209951964","30,71",0,"52,1400209951964",0,"9163,716273879","1043,67595994799",0,39,0
80,1,"265,553111437786",30,0,9,Standing Order,0,9,C,Male,5,0,"205,776003435767","30,71",0,"236,486003435767",0,"8734,37341067677","559,152081332307",0,46,0
81,0,"0,845107922779758",25,0,13,Standing Order,0,3,C,Male,16,0,"109,264155285873","30,71",0,"139,974155285873",0,"971,475995874139","4,50341060794785",0,16,0
82,0,"33,0491961329497",22,0,6,Standing Order,0,5,E,Male,16,0,"14,7683727062412","28,12",0,"42,8883727062412",0,"57,8657477725154",0,0,8,0
83,0,"124,519195956114",33,0,7,Standing Order,0,8,B,Male,18,0,"84,2767960626263","62,6","40,4322210075261","187,309017070152",0,"7401,80504245821","945,483303914458",0,128,0
84,0,"66,1246409418411",35,0,9,Standing Order,0,7,D,Male,5,0,"0,701835632939741","30,71",0,"31,4118356329397",0,"99,9748465546682",0,0,2,0
85,0,"1,49326377986099",27,0,38,Standing Order,0,8,D,Male,16,0,"9,80215090573704","30,71",0,"40,512150905737",0,"20,5959794022167","1,05706232444601",0,3,0
86,0,"80,3838231170933",22,0,14,Standing Order,0,3,C,Male,5,0,"13,9525209426936","28,12",0,"42,0725209426936",0,"444,461870783462","121,044994085919",0,12,0
87,0,"8,96849063842496",23,0,21,Standing Order,0,5,D,Male,5,0,"0,309198961646291","30,71",0,"31,0191989616463",0,"142,577047771081",0,0,5,0
88,0,"1,78799003480785",47,0,24,Standing Order,0,6,D,Male,8,0,"3,93237251227276",0,0,"3,93237251227276",0,"234,162947318365",0,0,0,0
89,0,"5,22410556190133",28,0,28,Standing Order,0,4,D,Male,5,0,0,"30,71",0,"30,71",0,"7,31810743905371",0,0,2,0
90,0,"114,761799712027",21,0,6,Standing Order,0,7,E,Male,16,0,"59,4206846450132","28,12",0,"87,5406846450132",0,"14236,6792707416","1215,61999322871",0,40,0
91,0,"38,1907381739084",27,0,25,Standing Order,0,2,C,Male,16,0,"80,6471823415259","28,12",0,"108,767182341526",0,"11199,1550683013","5046,00602703459",0,63,0
92,0,"45,4185375970556",22,0,6,Standing Order,0,8,E,Female,16,0,"2,11912978513374","30,71",0,"32,8291297851337",0,"23831,4533890936",0,0,0,0
93,1,"59,6439078783116",27,0,15,Standing Order,0,4,D,Male,5,0,"47,1868632206634","30,71","12,3557919095135","90,2526551301769",0,"1700,71283330776","292,316236714143",0,4,1
94,0,"33,9831398637297",29,0,14,Standing Order,0,3,D,Male,16,0,"8,0614466798322",0,0,"8,0614466798322",0,"586,385656385926","41,6165949416697",0,8,0
95,0,"76,4285815759632",29,0,26,Unknown,0,7,D,Male,16,0,"67,0827274059461","28,12",0,"95,2027274059461",0,"2699,71096250165","851,464646477969",0,35,0
96,0,"5,31577973826832",21,0,7,Standing Order,0,9,E,Male,5,0,"51,5020435000072","28,12",0,"79,6220435000072",0,"3713,54306334123","975,080891766204",0,95,0
97,0,"106,065625541379",29,0,34,Standing Order,0,7,D,Male,16,0,"11,7505712358707","28,12","9,56931772703224","49,4398889629029",0,"7912,83415159493","595,132801825189",0,18,0
98,0,"3,82770609907868",20,0,13,Standing Order,0,5,D,Male,16,0,"33,5969859615357","28,12",0,"61,7169859615357",0,"16522,8047503254","2157,80367710773",0,55,0
99,0,"26,9610487108696",28,0,14,Standing Order,0,4,D,Male,16,0,"19,115940601469",0,0,"19,115940601469",0,"1674,57642394852","156,89021396218",0,54,0
100,0,"159,261684404494",47,0,71,Standing Order,0,7,C,Male,5,0,"134,846508323684","30,71",0,"165,556508323684",0,"5573,59698544282",0,0,50,0
101,0,"118,655662920822",24,0,38,Standing Order,0,5,C,Male,5,0,"56,7251753945695","28,12","334,182470972442","419,027646367012",0,"26065,1954779333","4347,05550019572",0,53,0
102,0,"33,94214973869",31,0,10,Standing Order,0,1,D,Male,5,0,"86,7122568458397","30,71",0,"117,42225684584",0,"2754,8674053294","166,251794196319",0,118,0
103,0,"11,3849357987053",26,0,8,Standing Order,0,4,D,Female,5,0,"0,236725331724066","28,12",0,"28,3567253317241",0,"52,3090231990733",0,0,0,0
104,0,"71,9378982411575",27,0,8,Standing Order,0,8,D,Male,16,0,"19,9659362308012","30,71",0,"50,6759362308012",0,"3497,81014834929","448,31551227506",0,36,0
