cecha,Powierzchnia zasiewów [tys. ha],,,zbiory ziemniaków [tys. t],,,zbiory buraków cukrowych [tys. t],,,bydło [tyś szt.],,,produkcja mleka krowiego [mil. l],,,produkcja jaj kurzych [mil. szt.],,,ocena sanitarna – odrzucone mięso i podroby [%],,,przeciętne ceny skupu ziemniaków [zł / dt],,,przeciętne ceny skupu mleka [hl / dt],,,dochody jednostek samorządu tytułem podatku rolnego [mnl zł],,
nazwa,zasiew,zasiew,zasiew,ziemniaki,ziemniaki,ziemniaki,buraki,buraki,buraki,bydło,bydło,bydło,mleko,mleko,mleko,jaja,jaja,jaja,odrzucone_mieso,odrzucone_mieso,odrzucone_mieso,cena_ziemniak,cena_ziemniak,cena_ziemniak,cena_mleko,cena_mleko,cena_mleko,podatek_rolny,podatek_rolny,podatek_rolny
rok,2010,2015,2016,2010,2015,2016,2010,2015,2016,2010,2015,2016,2010,2015,2016,2010,2015,2016,2010,2015,2016,2010,2015,2016,2010,2015,2016,2010,2015,2016
POLSKA,"10365,9","10753,0","10640,0","8187,7","6151,8","8624,0","9972,6","9364,5","13523,8","5742,1","5960,7","5939,0","11921,1","12859,4 ","12867,2 ","11124,0","10473,9","10599,6","4,1","2,5","3,3","50,86","51,15","52,27","106,59","113,40","110,76","989,4",1593,"1513,5"
Dolnośląskie,"715,8","760,3","744,0","480,9","433,1","767,0","1028,3","657,8","1086,5","109,1","107,9","103,2","172,2","190,6 ","177,6 ","749,3","721,9","587,7","2,8","4,3","5,9","47,89","47,20","47,75","106,47","116,73","111,66","79,8","137,9","126,8"
Kujawsko-pomorskie ,"898,5","946,0","916,9","430,9","427,4","603,0","1837,9","1750,7","2702,9","465,5","495,7","501,5","868,6","928,3 ","948,9 ","432,0","346,0","325,9",5,"3,1",3,"63,78","55,48","59,30","105,42","106,55","104,49","74,1",114,"112,1"
Lubelskie,"1009,3","1103,7","1074,4","746,1","456,0","607,8","1614,2","1674,6","2247,9","387,0","366,3","361,8","742,4","782,7 ","759,2 ","462,4","254,6","293,1","2,8","1,8","3,4","45,34","45,22","58,28","101,50","111,09","111,95",109,"151,2","154,2"
Lubuskie,"281,6","277,5","287,8","109,7","95,8","147,4","50,6","74,0","101,2","69,8","73,8","75,3","108,4","85,2 ","83,5 ","259,5","343,6","260,3",1,"5,2",0,"38,47","40,05","57,94","107,35","119,30","113,27","26,2","44,5","40,7"
Łódzkie,"735,7","765,3","746,4","903,3","674,0","1040,1","280,6","260,7","330,1","453,7","460,4","456,2","963,6","981,5 ","990,1 ","596,1","598,2","493,3","2,5","5,1","4,2","57,81","45,30","44,22","97,52","104,63","100,71","54,5","84,1","81,4"
Małopolskie,"290,9","313,0","299,7","524,3","524,0","524,4","44,4","57,8","86,5","196,6","173,5","181,2","353,0","324,6 ","360,5 ","506,1","556,2","664,3",4,"1,5","1,5","71,54","44,43","46,97","92,59","107,76","103,04","55,4","89,9","85,4"
Mazowieckie,"1205,6","1259,8","1207,4","1189,1","641,3","1011,7","528,1","620,8","867,2","1058,0","1135,2","1070,7","2772,9","2794,3 ","2692,7 ","1608,0","1977,4","1861,8","1,4","0,2",0,"66,19","56,16","56,05","105,89","111,69","109,51","101,7","152,5","150,3"
Opolskie,"453,2","449,7","463,5","222,6","162,1","328,8","722,1","527,1","1031,2","122,6","116,5","121,6","290,2","266,6 ","272,7 ","238,9","126,2","158,2","0,9","0,0",0,"52,23","57,58","48,53","106,38","118,18","111,81","44,7","81,5","73,2"
Podkarpackie,"296,3","320,2","308,4","646,0","463,8","563,0","174,3","194,8","288,4","113,8","95,5","89,5","271,9","230,4 ","216,5 ","321,7","265,8","339,9","4,1","1,7","1,4","43,48","43,13","35,85","90,09","107,53","106,68","55,6","85,7","82,8"
Podlaskie,"605,8","655,6","688,3","353,9","186,9","184,9","13,0","4,2","4,8","878,9","949,1","947,0","1969,4","2564,8 ","2584,0 ","216,8","203,3","256,2","2,7","2,7","6,3","69,61","33,61","28,77","116,13","121,33","118,94","34,8","61,4","57,2"
Pomorskie,"567,9","598,6","572,5","513,5","460,6","579,3","508,1","522,7","689,2","195,3","204,3","205,6","286,2","350,4 ","354,3 ","311,5","235,8","293,4",2,"1,6","4,4","37,64","46,19","52,37","103,71","109,12","106,44","51,7","89,9","80,7"
Śląskie,"268,0","264,0","261,1","207,5","123,5","229,8","76,3","68,2","127,0","127,5","122,3","122,8","228,5","240,8 ","258,5 ","704,5","512,2","437,4","4,4","1,0","1,1","78,79","52,27","54,06","102,29","114,75","110,35","35,1","57,9","52,7"
Świętokrzyskie,"323,0","327,1","321,1","330,8","330,4","350,6","263,7","186,2","264,9","181,1","166,8","166,4","366,1","256,4 ","250,0 ","256,1","162,0","269,6","1,8","2,2","1,8","60,28","42,27","53,07","94,67","105,02","102,20","40,5","58,7","58,3"
Warmińsko-mazurskie,"592,1","608,7","668,8","248,5","179,7","216,6","175,2","117,0","166,2","435,0","440,4","442,5","922,3","959,6 ","1016,5 ","157,2","269,0","240,8","3,1","4,9","3,6","56,26","65,24","63,41","110,36","114,95","114,41","67,7","120,7","110,3"
Wielkopolskie,"1461,3","1463,5","1426,6","928,9","636,1","968,0","2100,2","2101,6","2750,2","843,9","951,0","996,6","1431,1","1731,1 ","1755,1 ","3892,8","3616,9","3797,3","8,8","7,9","8,8","64,01","57,01","59,75","105,32","113,68","109,34","93,3","151,7","145,1"
Zachodniopomorskie,"660,9","640,1","653,0","351,7","357,2","501,7","555,6","546,3","779,5","104,3","102,0","97,3","174,3","172,1 ","147,1 ","411,1","284,8","320,4","15,5","0,0",0,"67,57","48,90","63,62","110,45","114,90","108,79","65,4","111,4","102,2"
